Cu1,Co1,Ni1,Zn1,Mg1,Sn1,Cu2,Co2,Ni2,Zn2,Mg2,Sn2,Cu3,Co3,Ni3,Zn3,Mg3,Sn3,Atomic vol. of adsorbate,Alpha value,1st_pauling,1st_valence,1st_dipole,2nd_pauling,2nd_valence,2nd_dipole,Atomic charge,HOMO-LUMO Gap,Offset,Adsorption energy
0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,14,0.33,1.53,4,43.7,0.3,10,41.99289,0.989,0.931,-2.47712,-2.641231516
0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,14,0.33,1.56,3,49.7,0.3,10,41.99289,0.989,0.931,-2.63448,-2.830720723
0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,14,0.33,1.79,6,33.37,0.3,10,41.99289,0.989,0.931,-2.34928,-2.363625674
0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,14,0.33,2.13,-4,65.9,0.3,10,41.99289,0.989,0.931,-3.07428,-3.74635248
1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,14,0.33,1.535,4.5,42.45,0.29,9,44.49289,0.989,0.931,-2.52778,-2.59548737
1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,14,0.33,1.55,4,45.45,0.32,8,50.49289,0.989,0.931,-2.76382,-2.773948354
1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,14,0.33,1.665,5.5,37.285,0.55,11,34.16289,0.989,0.931,-2.33602,-2.319282929
1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,14,0.33,1.835,0.5,53.55,0.89,1,66.69289,0.989,0.931,-3.42352,-3.596948886
1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,14,0.33,1.535,4.5,42.45,0.3,10,41.99289,0.989,0.931,-2.42646,-2.486937
1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,14,0.33,1.55,4,45.45,0.3,10,41.99289,0.989,0.931,-2.50514,-2.685597565
