Cu1,Co1,Ni1,Zn1,Mg1,Sn1,Cu2,Co2,Ni2,Zn2,Mg2,Sn2,Cu3,Co3,Ni3,Zn3,Mg3,Sn3,Atomic vol. of adsorbate,Alpha value,1st_pauling,1st_valence,1st_dipole,2nd_pauling,2nd_valence,2nd_dipole,Atomic charge,HOMO-LUMO Gap,Offset,Adsorption energy
0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5.3,0.2,0.64,6,37.7,1.54,5,41.2,0.152,6.195,-1.95904,-2.331658256
0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5.3,0.2,0.67,5,43.7,1.54,5,41.2,0.152,6.195,-1.95992,-2.531229375
0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5.3,0.2,0.9,8,27.37,1.54,5,41.2,0.152,6.195,-1.27808,-1.015671503
0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,5.3,0.2,1.24,-2,59.9,1.54,5,41.2,0.152,6.195,-1.96616,-2.297832751
1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,5.3,0.2,0.645,6.5,36.45,1.53,4,43.7,0.152,6.195,-2.18086,-2.392082659
1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,5.3,0.2,0.66,6,39.45,1.56,3,49.7,0.152,6.195,-2.18218,-2.637310685
1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,5.3,0.2,0.775,7.5,31.285,1.79,6,33.37,0.152,6.195,-1.15942,-1.398640371
1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,5.3,0.2,0.945,2.5,47.55,2.13,-4,65.9,0.152,6.195,-2.19154,-2.440323295
1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5.3,0.2,0.645,6.5,36.45,1.54,5,41.2,0.152,6.195,-1.73722,-2.199721596
1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5.3,0.2,0.66,6,39.45,1.54,5,41.2,0.152,6.195,-1.73766,-2.476994409
1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5.3,0.2,0.775,7.5,31.285,1.54,5,41.2,0.152,6.195,-1.39674,-1.481128168
1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,5.3,0.2,0.945,2.5,47.55,1.54,5,41.2,0.152,6.195,-1.74078,-2.115540972
0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,5.3,0.2,0.655,5.5,40.7,1.96,1,49.635,0.152,6.195,-2.0662,-2.456887164
0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,5.3,0.2,0.77,7,32.535,1.845,-0.5,57.8,0.152,6.195,-2.0662,-2.549165478
0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,5.3,0.2,0.94,2,48.8,1.675,4.5,41.535,0.152,6.195,-2.0662,-3.084614078
0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,5.3,0.2,0.785,6.5,35.535,1.83,0,54.8,0.152,6.195,-2.0662,-1.926398746
0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,5.3,0.2,0.955,1.5,51.8,1.66,5,38.535,0.152,6.195,-2.0662,-3.15418836
0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,5.3,0.2,1.07,3,43.635,1.545,3.5,46.7,0.152,6.195,-2.0662,-3.133774117
2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5.3,0.2,0.65,7,35.2,1.54,5,41.2,0.152,6.195,-1.5154,-1.515401396
0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,5.3,0.2,0.64,6,37.7,1.53,4,43.7,0.152,6.195,-2.6245,-2.624536619
0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,5.3,0.2,0.67,5,43.7,1.56,3,49.7,0.152,6.195,-2.6267,-2.626786924
0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,5.3,0.2,0.9,8,27.37,1.79,6,33.37,0.152,6.195,-0.9221,-0.922154391
0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,5.3,0.2,1.24,-2,59.9,2.13,-4,65.9,0.152,6.195,-2.6423,-2.642303061
1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,5.3,0.2,0.66,6,39.45,1.83,0,54.8,0.152,6.195,-2.18486,-2.702581077
1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,5.3,0.2,0.66,6,39.45,1.96,1,49.635,0.152,6.195,-1.84438,-2.41387559
0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,5.3,0.2,0.94,2,48.8,1.55,4,45.45,0.152,6.195,-2.18486,-2.981089558
0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,5.3,0.2,0.94,2,48.8,1.665,5.5,37.285,0.152,6.195,-1.84394,-2.790493898
0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,5.3,0.2,0.955,1.5,51.8,1.665,5.5,37.285,0.152,6.195,-1.84438,-3.100210809
0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,5.3,0.2,0.94,2,48.8,1.54,5,41.2,0.152,6.195,-1.9626,-2.769783836
0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,5.3,0.2,0.955,1.5,51.8,1.54,5,41.2,0.152,6.195,-1.96304,-3.073588869
0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,5.3,0.2,1.07,3,43.635,1.54,5,41.2,0.152,6.195,-1.62212,-2.109095559
0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,5.3,0.2,0.64,6,37.7,1.55,4,45.45,0.152,6.195,-2.1813,-4.06237211
0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,5.3,0.2,0.64,6,37.7,1.665,5.5,37.285,0.152,6.195,-1.84038,-2.265357554
0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,5.3,0.2,0.64,6,37.7,1.835,0.5,53.55,0.152,6.195,-2.18442,-2.256779353
0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,5.3,0.2,0.67,5,43.7,1.535,4.5,42.45,0.152,6.195,-2.18174,-2.729526871
0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,5.3,0.2,0.67,5,43.7,1.665,5.5,37.285,0.152,6.195,-1.84126,-2.472101805
0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,5.3,0.2,0.67,5,43.7,1.835,0.5,53.55,0.152,6.195,-2.1853,-2.538336235
0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,5.3,0.2,0.9,8,27.37,1.535,4.5,42.45,0.152,6.195,-1.4999,-2.11682614
0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,5.3,0.2,0.9,8,27.37,1.55,4,45.45,0.152,6.195,-1.50034,-2.421329855
0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,5.3,0.2,0.9,8,27.37,1.835,0.5,53.55,0.152,6.195,-1.50346,-0.958953768
0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,5.3,0.2,1.24,-2,59.9,1.535,4.5,42.45,0.152,6.195,-2.18798,-3.040917688
0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,5.3,0.2,1.24,-2,59.9,1.55,4,45.45,0.152,6.195,-2.18842,-3.450443228
0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,5.3,0.2,1.24,-2,59.9,1.665,5.5,37.285,0.152,6.195,-1.8475,-1.949744694
0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,5.3,0.2,0.59,0,41.7,1.54,5,41.2,0.152,6.195,-1.45132,-1.314991334
1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,5.3,0.2,0.62,3.5,38.45,1.48,-2,47.7,0.152,6.195,-1.41928,-1.49000181
1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,5.3,0.2,0.62,3.5,38.45,1.54,5,41.2,0.152,6.195,-1.48336,-1.327006841
0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,5.3,0.2,0.655,5.5,40.7,1.635,2,40.535,0.152,6.195,-1.80878,-2.334683642
0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,5.3,0.2,0.77,7,32.535,1.52,0.5,48.7,0.152,6.195,-1.80878,-2.2831466
0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,5.3,0.2,0.615,3,39.7,1.675,4.5,41.535,0.152,6.195,-1.80878,-2.220013242
0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,5.3,0.2,0.785,6.5,35.535,1.505,1,45.7,0.152,6.195,-1.80878,-2.620415838
0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,5.3,0.2,0.63,2.5,42.7,1.66,5,38.535,0.152,6.195,-1.80878,-2.263426689
0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,5.3,0.2,0.745,4,34.535,1.545,3.5,46.7,0.152,6.195,-1.80878,-2.311240657
0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,5.3,0.2,0.59,0,41.7,1.48,-2,47.7,0.152,6.195,-1.3552,-1.355236949
1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,5.3,0.2,0.66,6,39.45,1.505,1,45.7,0.152,6.195,-1.92744,-2.628434244
1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,5.3,0.2,0.66,6,39.45,1.635,2,40.535,0.152,6.195,-1.58696,-2.363943827
0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,5.3,0.2,0.615,3,39.7,1.55,4,45.45,0.152,6.195,-1.92744,-1.979542768
0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,5.3,0.2,0.615,3,39.7,1.665,5.5,37.285,0.152,6.195,-1.58652,-1.974234684
0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,5.3,0.2,0.63,2.5,42.7,1.665,5.5,37.285,0.152,6.195,-1.58696,-2.283988691
0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,5.3,0.2,0.615,3,39.7,1.54,5,41.2,0.152,6.195,-1.70518,-1.997033074
0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,5.3,0.2,0.63,2.5,42.7,1.54,5,41.2,0.152,6.195,-1.70562,-3.693598964
0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,5.3,0.2,0.745,4,34.535,1.54,5,41.2,0.152,6.195,-1.3647,-1.119595401
0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,5.3,0.2,0.64,6,37.7,1.51,1.5,44.45,0.152,6.195,-1.927,-1.906252
0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,5.3,0.2,0.67,5,43.7,1.51,1.5,44.45,0.152,6.195,-1.92788,-2.42029
0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,5.3,0.2,0.9,8,27.37,1.51,1.5,44.45,0.152,6.195,-1.24604,-1.035093
0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,5.3,0.2,0.59,0,41.7,1.535,4.5,42.45,0.152,6.195,-1.67314,-1.321713
0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,5.3,0.2,0.59,0,41.7,1.55,4,45.45,0.152,6.195,-1.67358,-1.374402974
0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,5.3,0.2,0.59,0,41.7,1.665,5.5,37.285,0.152,6.195,-1.33266,-1.257990917
2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,14,0.33,1.54,5,41.2,0.3,10,41.99289,0.989,0.931,-2.3758,-2.375852503
0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,14,0.33,1.53,4,43.7,0.29,9,44.49289,0.989,0.931,-2.6291,-2.629113709
0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,14,0.33,1.56,3,49.7,0.32,8,50.49289,0.989,0.931,-3.0225,-3.022534319
0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,14,0.33,1.79,6,33.37,0.55,11,34.16289,0.989,0.931,-2.3095,-2.309588619
0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,14,0.33,2.13,-4,65.9,0.89,1,66.69289,0.989,0.931,-3.7156,-4.122026973
0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,14,0.33,1.48,-2,47.7,0.24,3,48.49289,0.989,0.931,-1.672,-2.090047201
