Cu1,Co1,Ni1,Zn1,Mg1,Sn1,Cu2,Co2,Ni2,Zn2,Mg2,Sn2,Cu3,Co3,Ni3,Zn3,Mg3,Sn3,electronegativity,valence,atomic volume,alpha value,electronegativity difference,valence electron difference,Offset,Adsorption energy
0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.646,6.6,-1.95904,-2.331658256
0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.658,6.2,-1.95992,-2.531229375
0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.75,7.4,-1.27808,-1.015671503
0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.886,3.4,-1.96616,-2.297832751
1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.644,6.4,-2.18086,-2.392082659
1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.662,5.8,-2.18218,-2.637310685
1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.8,7.6,-1.15942,-1.398640371
1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,2.55,4,5.3,0.2,1.004,1.6,-2.19154,-2.440323295
1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.648,6.8,-1.73722,-2.199721596
1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.654,6.6,-1.73766,-2.476994409
1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.7,7.2,-1.39674,-1.481128168
1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.768,5.2,-1.74078,-2.115540972
0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.82,4.8,-2.0662,-2.456887164
0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.82,4.8,-2.0662,-2.549165478
0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.82,4.8,-2.0662,-3.084614078
0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.82,4.8,-2.0662,-1.926398746
0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.82,4.8,-2.0662,-3.15418836
0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.82,4.8,-2.0662,-3.133774117
2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.65,7,-1.5154,-1.515401396
0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2.55,4,5.3,0.2,0.64,6,-2.6245,-2.624536619
0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2.55,4,5.3,0.2,0.67,5,-2.6267,-2.626786924
0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2.55,4,5.3,0.2,0.9,8,-0.9221,-0.922154391
0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,2.55,4,5.3,0.2,1.24,-2,-2.6423,-2.642303061
1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2.55,4,5.3,0.2,0.77,4.6,-2.18486,-2.702581077
